review_text,stars
"Meh.

Plus for cool decor. Minus for being in a strip mall (but hey it's Phoenix...)

Cinnamon Roll was good.  Awesome icing. Toluca Brizza was unique, but nothing spectacular.

it would be a good place for groups, with a vast menu (that i hear is very vegan friendly), but they are better places around town for brunch, both in terms of quality and price points.",3
"Very consistent, thin crust pizza, made with fresh ingredients and excellent cheese! The market place is lively and the atmosphere is festive!",4
While we were in Mesa AZ for a holiday we found Alessia's on Yelp and we are so glad we did. The food was delicious and the host was terrific as were the servers. We are not big wine drinkers but they have a very good selection of wines and the host knows his stuff and can make good recommendations. Nicely appointed little restaurant with a great menu.,5
"Exactly what a hole in the wall Pho place should be like! Totally reminds me of LA, SF or any authentic Pho place in any multi-cultural city. Congrats Phoenix for not being completely white bred and redneck- must give thanks to center city.

Anyhow, portions are large, ingredients taste fresh and prices are inexpensive. If you're one of the sheltered folk out here that gets freaked out by rude bums or the lack of decor- stay in the shelter of your HOA tract home or go to the mall.",5
"I used to work near here and we got take out a lot. 

My favorites: spinach enchiladas, green corn tamale, chicken mini chimis ( they come with a green chile cream cheese dip, OMG). 

I loved their tex mex spin, not authentic Mexican, mind you, but tasty. 

I can't speak to the service, I rarely went in to pick up, even... I'm one of those crafty people who can get others to do that, lol. 

I liked it though.",4
"We came here for lunch and were a little leery when we first walked in. I had the cream of leek soup, my mother had the sausage salad, and my aunt had the Greek salad and we were all very impressed. We took a bangers and mash pasty to go, but we are so full, that it'll be awhile before we can try it. The service was a little slow, but the quality of food and atmosphere made up for the inconvenience.",5
My daughter and I went in for pedicures and gel sets... was incredibly surprised to hear the total was $120. even with a coupon!!! When I got home I noticed that my pedicure wasn't the best... I really don't mind paying top dollar for top dollar services but even with a 'coupon' it wasn't worth it. Won't be back...,1
"Check-in was fast and quick and price was right for what it was. A big upgrade over a discount property and super close to the airport. It does resemble a different kind of hotel in that everything was outside, but the room was spacious and generally quiet. The morning breakfast was solid and the only real minus was the shuttle's delay; some of the hotels came twice in the time it took this one to show up once. But save for that...a more than adaquate experience for an overnight stay.",3
"Goddess got it right.  This place is pretty, and it looks so promising.  Big disappointment.   There was nothing for vegetarians.  The food was mediocre at best.  I'd choose Pho Nhat over this pretty restaurant any day.  Don't judge a book by its cover.  No good.",1
"The only plus to this place was that the bartenders are on their game, otherwise leave it for the Jersey Shore wannabes and slooters that get turned on by extra extra medium Tap Out t-shirts.",2
"Came here for my cousins rehersal dinner and the first dish out was the lobster bisque and it was one of the best things ive ever ate !!!!!! AMAZING, I could have ate 10 more bowls of this and forget the main dish.
the main dish i got some chicken dish that i dont remember that well. I do remember that it was over pasta and the pasta was great, 
I also had 2 GREAT dirty martinis ,",4
"Other than the ambiance of being a  Rock & Roll restauarnt, this place isn't good.  The food sucks.

I came in for a birthday party with 6 people, and not one of us actually enjoyed our food.  We had called ahead (2 weeks) to reserve a table before a game.  When we got there, the table had not even been set up.  We were 20 minutes later than planned getting to our table, and we missed 1 entire 1st inning and the top of the 2nd because it took so long to get our food.",2
"It's three stars because I don't know how to rate it -- I didn't think it was very good at all when I went the other night during their grand opening, but maybe I just don't have a taste for it.  Service was prompt and polite.  The food?  Eh.  I had one of the house specials.  I didn't think it was very special.  I do think the waiter deserves bonus points for talking me into a half order rather than a full order.  The lemon-lime beverage was strong and sweet.",3
This is probably one of my favorite spots in Oldtown.  I definitely enjoy the the Thai food here and plus the atmosphere is really chill and homey.  Service was never a problem here every time I go.  My favorite is the Basil Crispy CK....so simple to make but I love it.  Date place? Sure why not :),4
"This place is great. The Pizzas are single serving or post salad and some of the best Pizza Ive ever had. Salads are good and and service is excellent. 

Keep it Simple Stupid
KISS",4
Been here 4 times in the past 6 months.  I love bringing out-of-towners here.  Excellent art and history exhibits specifically related to Native Americans from the southwestern United States.  Reasonably priced entrance fee.  Go on the tour - they will tell you really interesting things about each of the exhibits you otherwise wouldn't know - makes the visit much more enjoyable.  A must see for visitors to Phoenix!,5
This place is awesome they r going to replace a bad  tire for me for free that another discount tire put on they r awesome,5
"When I mean 5 star, I mean 5 STARR...but this place is SPECTACULAR!! Pavle & Charleen are such a fantastic duo....they really know how to make your dining experience exquisite!  The food, not to mention the service, is truly unbelievably delicious!! If you want to have some amazing food and get top notch service while doing so, the time has come for you right here in beautiful Arizona!!
HATS OFF FOR FnB!!",5
"Pretty ok place, right in the thick of it, I saw 3 separate arrests while drinking beer on the patio.  They have a couple different 4 Peaks Brews.  Those facts alone made it a successful endeavor.  Did I mention it was 4pm on a Friday?",3
"I have a love/hate relationship with Costco. I love to support local businesses, but this is one of a couple of exceptions I make.  It seems they treat their employees fairly as most of the employees at this store seem to have been there for years if not a decade. One thing that gives me comfort in my purchasing is they have a terrific return policy and take about anything back.",3
"You know what the 'bucks are all about, get a Venti for the long flight you won't regret it!",4
"I just love Chipotle. Fresh, yummy, spicy (if you want it to be). And the restaurant was clean a HUGE plus! My personal fav is the chicken burrito, no rice, no beans w/ fajita veggies, pico, cheese, sour cream, and lettuce. Guacamole and hot sauce on the side. So delicious!!! The person who did our order was so nice! It was my friend's first Chipotle experience! She was impressed by how big the burrito was. I'm glad I only live a few blocks away... because I will be back.",5
"Love my Chick-fil-a!  Wow, they have a system and it is super fast in the drive thur.  Amazed and they are always super friendly!  They always get the order right!!!  ++++",5
The margarita pizza is awesome. They use a delicious red sauce that I would be happy to eat on noodles- much different than a lot of pizza places that just use a tasteless red goo. Good crust too! The organic root beer is pretty gross though.,4
Had the mahi and it was great.  Very reasonably priced also.  Definitely a repeat.,5
Reviews are dead on good food good service in a little bit of a strange out of the way location.,4
This is one of my favorite breakfast restaurants! They carry the best bran muffin I've ever had....it has a delicious brown sugar topping on it. I love coming here on special occasions!,5
"As far as salon-cafes go, this has got to be one of the better ones.  The sandwiches, while not particularly ground breaking, are thoughtful and assembled with quality components.  Also has a pretty good old-town ambiance.",4
I love their beef sandwiches and thin crust pizza. It is just like being back in Chicago. Love it!,5
"Awesome Mexican food, fast service at drive in or sit in and eat...try the new fish tacos, they're great, and authentic, too.",5
Angry Bro Bar !  Please go here if you wear size smedium affliction shirts you will love it. The bar is lame. Kid you not there was not five minutes that went by where two people didn't try and fight each other.,1
"No need for a long review.

Every In-N-Out I have ever been too has been amazing.

Great Food
Great Customer Service

Love this place",5
"Mmmmmm...why did I wait so long to try this????  Unbelievable pizza!!!!!!!!!!  I would give 5 stars, bjt the service was...well, not great.  Its ok, we all have off days.  We'll be back!!!!",4
"I never write these things. But I have to say that you will not be disappointed with Paletas Betty. Especially with the weather right now, it is a delicious and healthy treat, made with seasonal ingredients. I highly recommend the limón amarillo when in season. Delicious frozen lemondade/lemon drop on a stick, tossed in a sugar rub. It is for certain served in heaven. That is all.

P.S. check out the hours, yo. You know what's up.",5
"Great product! I was on a mission to make homemade mozzarella with the absolute best ingredients I could find. Organic, whole, raw milk -  this certainly did the trick! We'll be going back that's for sure!",5
"While throwing a small get together, we were able to have a back patio with a buffet style table set up with some pretty tasty appetizers.  The chicken sqewers were delicious and smoked salmon was also tasty but something seemed to lack.  At the end of the day it was good and I wouldn't hesitate to go back, but nothing to make me a raving fan.",3
"My boyfriends company has been doing business with this PostNet store for the last 4 years. Service is friendly, prompt and helpful.

I highly recommend it.",5
"Went to a party where they had Stacy's cater it. So good-- it was the BBQ beef, BBQ pork and BBQ chicken.  All of them were fantastic but I enjoyed the pork best, which is odd b/c I am not typically a fan of pork.

Anyhow, it was all perfectly moist, well seasoned and was a big hit at the party.  

I would order from them for catering and I need to stop into the actual restaurant sometime to try the other items on the menu.",4
"My previous review has the real details about what i LOVE about their food!

Update:  Doing mostly take-out here, but at least one of the grumpy girls is more friendly now!  Yesterday when I grabbed our to-go order, she smiled, made small conversation, and did not exude a sullen disposition in any way.  I'm happy for me, I'm happy for her!

Ordered many of our usual items, plus Mongolian beef, which was very tasty. I'm stil partial to the Ginger beef, however.",4
"I have tried the other one on shea, but this is close to home and work. I love the enviornment, the clientle, the healthy food, outstanding service and very reasonable prices. The waitstaff is great, the food always comes out quick and tastes amazing. Get anything with chicken as it is delicious and if you like hummus try it here. Also, they have great ice tea. This place is one of my favorites and well worth a try.",4
"Mylissa has given my daughter and me the *best* cuts! If you can, see her. She will take great care of you!",5
"Tasty standard bar food.
Great bar service.
Sweet servers (90% of the time).
Huge awesome patio.

The cherry on top is that it is NOT on mill ave!

Best spot to be at on a beautiful spring afternoon in Arizona.

What else could you possibly need?",4
Yep -- still my favorite hole-in-the-wall eatery awesomeness. The brisket sandwich with cheddar and slaw and dippin' sauce was to die for. I ate at the bar and just enjoyed my visit.  Can't wait til I can walk here!,5
"So I recently went here with a friend of mine because they were craving IHOP, and I didn't care were we went to eat as long is it had food.

I got one of there new healthy choice menu items the balsamic chicken and my friend got the club sandwich with a side salad and a side of pancakes...don't ask.

The food was surprisingly really good and the service was excellent.",3
"Beautiful hotel, great rooms, best views out of the resorts in the immediate area.  Service is comparable to a Ritz Carlton.  Very understated and clean feeling, yet still over the top luxurious.",5
"Fantastic place!  we went tonight for my friends birthday-they were able to seat 15 of us without a problem.  Our waiter, Tim, was fantastic-he split the checks for everyone before we even asked.  They gave the birthday girl two pieces of delicious dessert on the house.  The food was great-we were all surprised by how large the portions were for the price.  Everyone was very polite and accommodating I look forward to going back!",5
If I were to ever get hooked on crack... I would want my crack to be these amazing donuts! They are delicious and addicting.,5
Very consistent food. Definitely a second best to P.F. Chang's.,5
"Yup. Definitely a fancy mall for that credit card burning session.

A combo of outdoor and indoor. You probably can find most everything the average person can't afford here. 

It seems to be the spot for malling in Scotsdale.",4
"My wife and I moved from Seattle in November of 2006. We thought we would find great, modern Mexican food all around the Valley. Fortunately we found it, but only at Barrio Cafe (so far). Barrio Cafe is a sure hit with anyone who loves Mexican food without a half plate of gray, canned refried beans. Their menu is excellent, thought put into the dishes inspired and the ingredients are fresh. It's well worth the hour wait.",5
"Don't dog Old Navy. 

Despite a sub par and semi-annoying marketing campaign, clothes here are aight with me. 

And where else can you get a perfectly good pair of cargos and boardshorts for less than thrity bucks a pop? I'm no fashion snob, but I like to think I can generally distinguish ""awful"" from ""not awful"" in most cases. 

For the ""not awful"" variety, Old Navy is dirt cheap and top notch.",4
"Great, fun atomosphere! Service was great! My wife and I had a wonderful date night here.  The fillet was nicely cooked and the sides were just as good.  Average prices but great value! Highly recommend this place for date night!",5
"This is really worth taking the time to see and experience.  The cost is very low - $5 per adult.  The garden is beautiful and peaceful with many areas where you can sit by yourself and reflect or just people-watch.  Also, the lady in the gift shop is very helpful if you are a first time visitor.

Metro Light Rail stop at Roosevelt and Central.",5
"This place was AMAZING!  I have stayed in probably over 100 hotels, this one was the BEST hotel I have ever been to... staff was extremely friendly, I WILL be back!",5
"I love this location, and I love this product.  

I think the prices are reasonable considering the quality of product you are getting.  If you've only been to the Scottsdale Fashion Square location and hate it, give this one a try.  It's got a much better vibe and is a lot less packed.  

Walked right in was helped, she grabbed what I needed and I was off.  It took all of 15 minutes even with picking out a totally new foundation then I used before.",5
Dr. Koch and his staff are wonderful! I know that I am in great hands and being given the best care possible. They do a great job at working you in to the schedule if you have a last minute pain that needs some extra attention. I would highly reccomend Arizona Chiropractic to anyone!?,5
"Love the bar! The two guys that sing and play music there Wed thru Sat nights are just amazing. 

Manuels' has very authentic Mexican food. Best enchiladas and refried beans around. 

Bar is adorable after being renovated recently. Restaurant could use some updating.",4
Good for an easy and leisurely business lunch or outing with the girls.  The market downstairs is great for takeout and a great selection of bakery treats.,4
"- the location is excellent
- the food is mediocre, and milder than they advertise
- the wait staff is polite and bland.  At several opportunities, they were missing for more than 5 mins.
- the bill will be higher than anyone expects

Bottom line:  don't bother",2
"At least one a week. Can't go wrong. 

My family's favorite chips & hot sauce anywhere.

Wife loves the veggie burro.",4
Fast and a drive thru. What more is there?,3
"1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I let that go & figured was a mistake. When I went again, ordered different item & same result. Little to no meat. I will not be going back.",1
"Stopped into this good-sized place for lunch today, with Mike C.  It's a little worn, but comfortable, & I counted up 81 regular food items.  All that I tried from the soup, salad, sushi, hot dishes, & dessert selections were good, & I particularly enjoyed these items:

*  The Hot & Sour Soup!
*  The Kim Chi!
*  A tasty salad topping with broccoli, mushrooms, & more!
*  The Seafood Salad!
*  The Egg Foo Young!

A good solid 4-Star place here!  Lunch Buffet $6.99, $6.29 Sr.",4
"I went in to check out the new drop of denim that the boys at The Phoenicia Association got in and left with a new pair of Naked and Famous Raw Selvedge Denim, Weird Guy cut; and a shirt by Wrath Arcane with the sickest little pocket that drops from your breast to your waist (perfect for my lighter and cigs) with a little zipper at the bottom. Spent a nice chunk of dough but nothing crazy for such a nice combo I can wear to dinner with the parents or to Old Town/Downtown on a Saturday night.",5
"It's the best!  Downstairs, hanging at the bar, you can't beat it!  

The food is EXCELLENT!!!",5
"Fast. 
Friendly. 
Cheap. 
If you get the ultimate package you get a free basic car wash in a week. Just keep the receipt.",4
"The closest thing I have to a neighborhood pub.  Not bad.

They sell loads of Belgian and Canadian beer.  That is all that you need to know.",5
Mojo made me fall in love with fro yo. I love Mojo's Twitter Tuesdays where you can get half off of your fro yo. The location is awesome; I can go to Mojo between classes. It's here where I found my love of the pomegranate & acai flavors as well. They have awesome seasonal flavors as well as the other usual staples. I love their different toppings and it's a good place to hang out with friends and get your Mojo on :),4
"I had heard they were spiced just right but for me it was too salty of a burger.  It was also expensive considering a I had a burger, hot dog, fries and a shake.  Not a favorite but wouldn't mind coming again.",3
"Yikes...I won't be going back.  The ordering system is confusing. The staff also seemed confused. The food was very bland and pretty tasteless.  THIS PLACE IS NOT EVEN IN THE SAME LEAGUE AS HONEY BEAR'S NEAR THE AIRPORT!! Skip this bland chain, and go to Honey Bear's!",1
"i like the ooey gooey cupcake! the chocolate cake is soooo moist and cooked evenly in perfection. only it's served chilled? it's weird. 

their cookies are good, too. I bought a tub of their easter sugar cookies and they are so stinking cute! they're very sweet though so it's impossible to eat more than 2 per day but soo good. anymore than that you'd need insulin. :)",4
The price is a little high for me.  They don't give enough bean sprouts without asking for more.  The pho broth is a little too sweet for me also,2
I love this place. The service is absolutely amazing. They are always really friendly and never screw up my order - - things that are very important when it comes to fast food. Their Apple Walnut Chicken salad is amazing! I also crave their fried zucchini on a steady basis. Carl's Jr has some of the best fast food burgers out there... if you want something fast and GOOD then I think you should stop here.,4
"This is the best restaurant in Phoenix. My wife and I have been eating out here for years, Their servers are great and the food is always delicious. The entire menu is very good and the specials are always unique.

Check out their website at http://www.phoenixcitygrille.com",5
This place is too loud.  It would have been nice to have a meal without some lady yelling 'meatlog' across the room.  Also the waitstaff was somewhat incompetent and snobby.  The food was delicious but it's not something anyone can make themselves at home.  They are stingy with their bread even though it is now free. Lots of annoying things that will probably persuade me not to come back.,3
"Very impressed! $5 pitcher until 5pm, and excellent healthy food at a good value. Free valet parking.  I look forward to coming back.",5
"Went here because of the reviews on Yelp,  very good.   Had the green papaya salad, great light taste and a very large portion with a few shrimp on top.   Had two types of curries and both of them were very tasty. I need more of that green papaya salad so I'll go back and try a few different things.",4
Foodie from Cali here on business. Nicely done dishes with authentic flavor. Ling Shrimp to die for - at ridiculous bargain prices. 5 stars if they expand menu. Very nice family setting.,4
"I think I went the wrong way, but I ended up doing a very isolated trail that wasn't too scenic, but at least it was quiet.  It sort of just ""ended"" though and didn't wrap around.  So then I walked the same way back which was kind of boring.  I like trails that are on loops.",3
Great atmosphere and food. We keep coming back!,5
Food was really good. You could tell it's good quality. Our service was not so good.  Workers are friendly but were having bad day on service.,4
"Our waiter was Vincent. Very polite, helpful, accommodating, and knowledgeable about the menu and the taste of each item. Service was A+!  The food was fantastic. No errors, was tasteful, unique, and fresh! I will definitely come here again.",5
"Great library...take your canned food to donate all during APRIL and they wave off your fines- GREAT cause, GREAT deal and now fine free!",5
"This has to be the best Thai food around. I have tried a few other places, but none are as authentic and delicious as Swaddee. We are now regulars and have never been disappointed.",5
"Stopped in for some macaroons and coffee, the food and coffee were decent. The place itself was kinda dirty, stains on the floor, saw a couple of flies, and sat in an uneven chair.",3
"OMG try their breakfast burritos!!!!  Habanero's has good, cheap, fast Mexican food.",5
"Love this spot - it's pretty close to the convention center so Natalie and I went here to check it out. The bacon is awesome here!

Their philosophy is great too - local, organic, etc. etc.  The place is tiny and quaint too and as always it's great to support a local independent business.  

Best breakfast in Phoenix that i've had and definitely one of my fave spots - went there the next day too - got the special and it was delish - check my photos to see what we got!",5
"Dammit - I have been here a dozen times and it's been so ""mixed""... The best of times, and the worst of times... though the last two times (for late night drinking with friends) have been pretty fun... Drinks are cheap and the crowd is ""lively"".

So, for now, I will suggest Dos Gringos to the college drunkard and/or professional drinker after 9pm. Bring some friends!",3
"Great food as always.  The owner is incredibly professional, friendly and charismatic;came buy three times to check in on experience and even asked if we wanted more antipasto salad items(on an already generous, well-priced portion.)  The service is great.  Homemade breads.  Extremely generous portions.  I would highly recommend this restaurant to all.",5
"Fast service, attentive waiter, food cooked as I ordered, clean restrooms...What more could I ask for? I was on my way to a meeting at the Marriott so I stopped in to grab lunch beforehand. I was in an out in less than 45 minutes. Perfect.

I'll be back the next time I am at the Desert Ridge mall looking for a place to grab a quickbite to eat without ordering fast food.",4
"Wings + Beer + Football = LOVE

I am such a girly girl 99% of the time but come fall, I sort of turn into a dude.....

This is not my most favorite place to catch the game, but a good alternative when I want to mix it up or my team is on a bye week. Good selection of boneless wing flavors.

Oh god, just writing this makes me yearn for the season to begin!!!!!!!!!!!",4
"Good sandwich! Better than all the chains, doesn't beat Jason's deli, would like black tea (not green). Fresh tasting and clean",3
Tuck Shop is definitely one of my favorite restaurants in Phx. Everything is superb from the service to drinks to food to overall experience. Definitely go soon!,5
"This place has really bad service and the food is barely decent, I would advise not to dine here. There are much better Vietnamese restaurants in Phoenix.",1
"Jan Ross has one of the best selections of crystals I've seen - they literally had every crystal I was looking for, and I subsequently left as a satisfied customer. Friendly staff too.",4
"Taco Bell/Pizza Hut combo on Dobson and Southern. Typical taco bell food and service. Lunch is very busy at this location because it is within walking distance of MCC, Pima Medical Institute, Banner Desert Hospital and a gazillion apartment complexes. 
Parking is easy, but this shopping center is very difficult to get in or out of during rush hour.",3
Excellent service and great quality.  I will always bring my alterations here.  Had an emergency and needed a hem done in a couple of hours and they had it sone sooner than expected!,5
"I have never actually been to a pawn shop for any reason. I can't honestly even tell you what they are used for. I have never seen Pawn Stars. I don't watch television. 

I really enjoy this signage. On an almost daily basis. Savy, that is all it is. Love of a little morning chuckle.",3
This is the best Cajun place in Arizona. The portions are great and the people behind the counter are really nice. I love gumbo and I have tried several kinds here and all of them were excellent. Yes the decor isn't 5 stars but seriously if you're more worried about mood lighting and soft cushions you can go to Pappadeaux's and get charged an arm and a leg for lower quality food. the drive and the price are definitely worth it for this place.,5
"Overall , I like this place. A smal hole-in-the-wall place with straight forward, cheap, non-greasy Mexican food. I can dig it. I personally think the one on 7th st is better, but I will chock it up to growing pains since this location's only been open for about a week. I went today for my all time favorite Torta, but they didn't grill my bread so it wasn't nearly as awesome as it usually is...yes, I'm picky",3
"nice and trendy restaurant with great food!
will definitely come back again!",4
Love it! Closest thing in Tempe to the food we actually had in Thailand.,5
"Successfully blending the idea of bar food and airline food into one very disappointing meal. A poor choice for breakfast due to mealy/watery eggs, cold potatoes and bland salsa. Even the grapefruit juice lacked flavor.",2
"This place always pleases! Their sandwiches are always great, bread is great, pizza is AWESOME, and their short ribs are great. The food is SO fresh! The waiters are kind and friendly. When we asked if they had some of their awesome ice cream, she kindly told us the freezer broke. I heart the deli!",5
"This is the best ice cream I've ever had, bar none!  I had the salted caramel, and it was wonderful!  I felt like I was 7 years old and enjoying my first ever ice cream cone.  I also love the decor of the shop, the braille on the back wall is so cool (although I do wonder exactly what it says!)  I also bought a pint of their ice cream at Whole Foods, I love Sweet Republic and everything it stands for!  Totally recommended!",5
