review_text,stars
"T&S Glass did a wonderful job replacing my car window. They came right to the house within 2 hours of my call, had the window replaced within 30 minutes and treated me like a queen. Frank installed the glass and couldn't have been nicer. Thank you T & S Glass!!",5
"Planet Sub is definitely a good option for solid, good tasting subs. I'm next door at Gangplank a couple times a week and we usually hit this place up for lunch. It's much better than the last place that was in this spot, has tons of options (we decided you could eat lunch there for a month and not have the same sandwich), and friendly staff. I'm definitely glad they put this in. It's a great option in the downtown Chandler area.",4
I love this place! The owner is always there and you can tell he takes great pride in what he does. Great food and great customer service!,5
"What Whattt! Hip hop videos blaring as I get my strike on? Bowling specials after 9pm? Friendly staff? Cheap drink specials from the bar in plastic cups? ASU and working class stiffs co-existing one sweaty bowling shoe at a time? Teenagers making out at the arcarde section?

Loooveeee you, Brunswick!",4
great food... love the pad thai....awesome atmosphere...,5
"4 stars based on the sangria alone.

Order this motherfucker by the PITCHER, without apology.

If you can sit out on the patio, so much the better. if not, grab a comfortable booth near the bar.",4
"Great meal all-around.  Was hoping for an authentic experience...and that is what we received from start to finish.  Really enjoyed the grilled lamb and chicken, with garlic sauce on the side, and a Turkish coffee to finish.

Service was attentive and friendly.  The staff was clearly proud of their food/restaurant, as they should be...

Highly recommend!",4
"Barb at Tees and More does a great job.  They provided our company shirts and did a perfect job.  Fast service, great service and great people.",5
Chicken schnitzel was amazing. Service was slow and server didn't know the menu. Didn't know what a knish was.,3
"Fresh and simple!  Taste's great!  Worth the drive!  The burgers are like the ones you make at home!  I had the sweet potato fries, highly recommended.",4
"This place is super cute lunch joint.  I had the sloppy joe special and it reminded me of a home cooked meal back in the day.  I ended my meal with a classic vanilla milkshake which was superb.  Oh yeah!  if you're in a hurry for a quick good sit down lunch, this place is it.  our food came out SO fast.  I will be returning shortly.

You also MUST check out the vintage clothing/ furniture in the room next door before you leave !",5
"What can I say... I am a bargain shopper! I'm not cheap, but I get more satisfaction out of getting a bargain than I do spending a ton of money for a name brand item at Nordstrom or Sax Fifth. That being said, sure you can find a pair of shoes you'll like here, but the selection is simply OK, and its usually full retail price. Most of the time they have a two-for-one deal or get the second pair half price. Still, its never really any kind of sweet deal.",2
"When I left this place the bartender threw her fist up in the air and told me to go take on the world. How cool is that?

I was impressed by how clean it was inside.  Plus they have craft beer on tap for $3.  Need I say more?",4
"I've been Dr. Castilla's office for 7 years.  Her office has relocated and her practice has grown over the years and for good reason.  She is a Dr. that treats you as a person and takes her time to honestly answer your questions.  She makes eye contact with you and I couldn't ask for anything more.  Just remember, it is a large practice and the staff is sometimes questionable.  But, she's worth the wait!  
Now that we've relocated, I hate to give up Dr. Castilla.  She's irreplaceable!",5
"Soooo this location is even better than the one in Superstition Springs. They also have a play place, which is pretty cool. I ordered the deluxe chicken and it was simply amazing. Fantastic service as well. I ordered and set my stuff down and within a couple minutes my food was brought out to me with a smile. Very polite staff, and delicious food.... what more could one ask for? I totally wish Chick-fil-A would sell thier Chick-fil-A sauce by the bottle cuz it's sooo good",5
"We went over for dinner- had the spring rolls, chicken curry, and lemongrass chicken. The spring rolls and lemongrass chicken were about a 3 star, but the chicken curry was really good and made up for the others. We also had the coconut water, which was fresh. Prices were reasonable we paid around $30.",4
"This place is GREAT! I must have passed it a million times without knowing that it was tucked away in the complex. The sushi was awesome, the drinks were very reasonabally priced, we loved the decor and the atmosphere was very nice, kinda romantic if you are seated in the back away from the sushi bar. The service was great! We will definitely be going back.",4
"I really like this place over Pizza Hut or Dominoes because the pizza is excellent and well priced 
The pizza from here isn't gross like other pizza places/chains
it tastes authentic and freshly made
When we order pizza, we only order from here
We also get the wings usually we ask for extra sauce because if you don't they don't put much on them 
Other than that, its great
It take anywhere from 20-30 minutes for delivery for us",4
"The place is nothing special, you can even think there is nothing going on there as it is almost hidden. Once you are in, you still won't believe there is something worthy. Sit and try one of their gyros, hummus or the vegetarian combo! All tasty and well served. After that you can check and buy some interesting to impress your friends next time!",4
"This restaurant is close to my office, so we go for lunch at least once a month.  I love that it's bright, with great modern decor, and the seating is comfortable.  Service is always very good.  The prices and portions are a average for the area.  The cuisine is a twist on Sonoron, but nothing extraordinary.",4
Great food and awesome service! Even better that the Chef came out and personally checked on our experience. I will be back for more delicious BBQ,3
"Burritooooooo lunch special!!!!! awesome, tons of chips and salsa",4
"I had a great experience with this company today.  They sent out their tech Steve to fix my Samsung tv.  He arrived on time and was able to quickly diagnose and fix the problem.  He also provided some helpful tips to improve the performance of the tv in other areas unrelated to the issue.

The service was professional, prompt, and efficient.  I would definitely use them again in the future.",5
"I love this place. My gf and I go every time we visit her parents in north scottsdale. 

Pro's
quick and easy. good service. clean. good food. good management. not too expensive. they also post nutrition info on their menu (that alone is laudable). 

cons,

the salad dressing is quite sharp.",5
"Closed?  Really?  It seems this place just randomly shut down, after much less than a year of being open.  Only went there once - we enjoyed the food, the ambiance, and the beer.  We recommended it to others as well.  Showed up on a Tuesday night for dinner and everything was packed up....?  A little searching on the web (Facebook, specifically) shows that they're done.  What a shame.",3
"Went back on Friday and was disappointed to find they are  closed from 12:30-1:30 on Friday...lunch time  on Friday seems like a super strange time to be closed and I was unable to eat there due to the closure (and I drove out of my way to go there never thinking to call and make sure they would be open at a time that should be the busiest of the day).  I will go again, but I will call before heading out of my way to make sure they are open and I don't waste my time on the drive.",4
"The manager at this location is a pretentious jerk, he is condescending and immature.  I will never return to this place or recommend it.  The food is delicious, the atmosphere is sophisticated but the crowd is lame and the management is even worse. Spend your evening and your money elsewhere.",2
"Fun, Fast, Easy, Yummy.  Nice Flatbread style pizzaz, done right, crispy, not thick & greasy. Yummy fresh & unique toppings.  Crisp salads.  Good place for kids :-)",4
"Ive been here twice and my favorite item has been their version of tiramisu. It's not soaked in espresso or whatever the local italian eateries are using these days..it's made with champagne! It's light and fluffy..it's like eating a cloud from heaven. Very much a date place.. It has a ""romantic"" atmosphere so don't go there if you're not trying to give off that vibe. Otherwise great for a group setting..... Oh and for any potential cougars the waitstaff is delicious eye candy. ;)",4
Have tried this place a few times now we sometimes order it for everyone at work. My impression is that its a step up from Taco Bell.,2
"Standard Burger King fare served at a snail's pace.  One cook, one sandwich maker, one cashier, plus 30 people in the queue.

Please help the economy and the waiting customers by hiring some staff!",2
"Stopped there for breakfast. A cozy little place, with very friendly and smiling persons. Their house coffee is fine, but will have to go back for a dirty chai. I had also a bagel (just like any other). A nice drive through, and a good alternative to start the day!",4
"I have to admit the quality of food here is better than your average berto's restaurant, However the girl who works the drive-through during the late shift makes some of the strangest mistakes with the food. Warning if your ordering 2 items don't be surprised to find them in one box combined into some strange hybrid. I honestly don't think she understands the word ""And"". This has happened to me several times int the last month. Always make sure to check your order here.",2
"The BF and I got coffee here last night as part of the coffee tour of Phoenix!!. The coffee was alright, not too acidic, but not the most flavorful coffee, but the main reason for the 4 star review is they are open late and they deliver! How awesome! The people who work there were all friendly. The ice cream looked good...will have to try in the future.",4
"This in truth had been my first ""Cajun"" eats.

The atmosphere was cool.
The service was good.
The food was rich and filling.",4
"I had dinner here tonight, and loved the entire experience! The patio was roomy, our server was quick, and the food was delicious! I ordered the Thai Cobb salad and really enjoyed the unique, healthy flavor! My dinner was priced fairly and I got a lot of food. I will be going back",4
"I've been a patient of Dr Lienau's since I was six years old!  I usually don't care who my primary care physician is, but when it comes to my dentist, there's no way in heck I would switch.  I even referred a co-worker to him recently!  

He's very honest, upfront, and has such a great support staff.  Colleen is the NICEST receptionist!  One of the hygienists has been there for years (I forgot her name!!) and is also a very friendly woman.

I definitely recommend Dr Lienau!",5
"We are lucky enough to live basically right accross the street.  

The food is great. Love the thin crust pizzas and the sweet potato fries. They grow a lot of their own veggies. They seasonally sell dates at the farmstand that are GREAT. 

You get your food free on your birthday.

Gets very crowded on the weekends!

the dessert is just OK, but the shakes are great!",4
"I love that there is a locals place right within walking distance of my apartment.  I've been drinking there for a couple weeks now and I love the good beer and cheap prices.  I just ate there for the first time last night and the chicken sandwich and curly fries are delicious.  The service is reasonable, the atmosphere is friendly, and the patio makes for a great hang out.",4
I like their seating area. It has a nice sized inside area and also a bright outside area that is tucked between a walkway and another store. One of my favorite locations.,5
"They don't have the lunch specials on the menu or tell you about them if you don't ask, so make sure to ask. The sandwiches don't come with fries and their fries are over priced for not being very good. The pulled pork sandwich is good and so is the sauce. Also, expect a long wait especially if people are ahead of you.",3
Cool place in downtown!  I've been to all of the iterations of the restaurant and all of them have been pretty cool.  The happy hour is a great deal and the bartenders are really nice.,4
Great food. Great ambiance. Great for a night date on the patio. I can't wait to go again.,5
Best steak I have ever eaten is at Ruth's Chris steakhouse. Comes to your table sizzling hot. Sides are sold individually but are pretty good. The deserts and appetizers are awesome. Being an upscale place be prepared to take a hit in the wallet. If you really want to impress a date this would be a good place to do it.,5
"Unique atmosphere in the city of Glibert with AMAZING food....  

Beware some weekends the line is super long but its worth the wait... be prepared to eat outside in a nice shady area enjoying a farm like atmosphere...

Good seafood is hard to find in Az & Farm grill does a great job.... also great burgers!  

If you don't mind driving out to Gilbert its 1 of the best places to eat in the Phx area..",5
"Great beer, really good food and no wait.
Ok yes it was noon on a Sat but that can be hard to find
any day of the week, at any time.",4
"I love the Valley Ho! It's a beautiful property with great rooms, a fantastic pool, an excellent restaurant -- Trader Vic's and a really nice spa. Be sure to stay in the newly re-modeled Loft Suite. It's two stories and it's fantastic! If I was to take a stay-cation, I would be sure to stay at the Valley Ho! And for all you out-of-towner's who want to stay in Old Town Scottsdale and be close to great shopping, restaurants, and nightclubs, the Valley Ho should be at the top of your list!",5
Who the heck doesn't love huge amounts of toilet paper and free samples of food... come on now!,4
"LOVE LOVE LOVE riding my bike through here.  Especially on our way back, with all the down hills!!!!  It's like a roller coaster but better!!!!

I also drive through here every morning to get to work, so that is a nice, relaxing, pretty way to start my day.",4
"Great little sushi spot with a heck of an all-u-can eat deal.  I like it.  The staff is great, the food is great quality and the prices are fair.  My only complaint: Nearly every time I leave Sushi Q I get hit up by the pan handlers working the liquor store next door.  4 stars for price, quality, and staff.",4
"Mmmmmmmm Saganaki!

This place is a very good value, delicious really!
Kind of a cute little dive with AMAZING food.

This place makes me think of a few close friends who brought me there.
Good times! Good place!",4
The server could have been better. She spilled a coke on my lap. This made me late for my movie. The wait was so-so however the food was cooked to my liking. I will go back.,3
"The shopping center this Rack is located in is absolute poison to my pocketbook. TJ Maxx, Ross and Nordstrom Rack all in a tidy row? Rock on! 

There are great deals to be found here with patient and selective hunting like any other discount retailer, and that these great deals are on brands which Nordstrom's carries makes any awesome deal so very much sweeter. 

Don't go expecting to strike gold at every visit, or expecting Ross prices on Guess shoes, and you will fall in love with the store.",4
"I started a new job and the bosses brought us here for lunch.  It was ok.  I got a lunch combo meal, but I didn't pay.
The service was really great but the food was not.  Just kind of plain.  
It's convenient to work, so I will probably be back, I just won't have very high expectations.",2
"Ordered the pork ramen and a rainbow roll. Both were great, sushi was like every other good sushi place and pork ramen was tasty and spicey. Good service from waiter but the hostesses weren't able to keep up with everyone and forgot we were there and had us wait awhile. Other than that, experience was good and would come back.",4
"So, I say to myself, ""half price sushi for lunch? Oh yeah! You betcha!"" well, even at half price, it's tough for me to get excited about thus place. 

There's no real creativity (except for the disco balls during ""happy birthday"", seriously, uh yes) and it's fairly generic fare. The 2 stars are really for the fact the service was Johnny on the spot for edamame, miso and salad. The main fare though, just plain lacking. You're better off heading a mile or 2 down Ray over to Ra.",2
"yuk! service and food sucked never a
gain!",1
"This Mexican food is very simple, slightly bland, but fairly fresh. The chicken is chopped up into tofu-looking squares. But I was satisfied with the food, which was fairly healthy Mexican food as Mexican food goes. The staff is quite polite. I met some cool people hanging out there while I sat outside.",4
"Beware the latte. Otherwise this is a typical Circle K. Come to think of it, the latte is probably typical of Circle K as well.",3
This place is delicious. Great food and when they cook in front of you they do a lot of cool tricks and stuff. I would eat there everyday if I could afford it.,5
"I don't love the coffee at Starbucks, but this place is getting 5 stars for their service! They are quick, ACCURATE, friendly, and they always remember my drink even though I only go there about once a week! Amazing! The staff is great and I thought I should leave them a nice little ""Good Job"" on Yelp!",5
"Hands down, the best pizza in the East Valley!!!! Tastes like I'm back in New York City, that's how good the pizza is! They do all sorts of combinations and toppings. Mmmm mmmm good. The hero sandwiches and wings are good too. Located in a strip mall next to AMC movie theaters, it's a great place to go before or after the movies. And they deliver, too. Much better quality than chain pizzerias.",5
Gallo Blanco has the most delicious ceviche I've ever tasted in AZ. Portion size is plentiful and the chips are quality. I love the indie music selection it really adds to the vibe of Gallo Blanco. If I'm in the area I make it a point to visit.,5
"This place is gem behind the Central Phoenix library and next to Walgreens. They have great lunch specials that are worth a visit. My favorite dish so far is the spicy noodles. The noodles were flavorful and pretty darn spicy, just how they should be. If you're in the mood for some authentic Thai food, you gotta give this place a try.",4
This place was great... Well as great as a doctors visit can be.  They called us (my son was the patient)  back within 5 minutes and immediately saw a doctor.  She was kind and took her time - asked a lot of questions and did not hastily diagnose and fully explained to us what was going on with my son's health.,5
So perfect. The atmosphere is just spot on. I love going whether it's just to grab coffee and leave or if I am there studying or just want to chill. I love their Apple Harvest (?) salad. So delicious and beautifully prepared. Baristas are always very nice (especially Brianna!). Can't wait to hopefully become a regular and attend some of the live music events they put on every week!!,5
"I just stopped at Biagio nail place today and got my mani and pedi done, it was fabulous. Tiffany gave me great feet and my neck massage. She does really job. The shellac manicure was really nice she gave me a lots of different colors so she actually helped me find the colors that i like and I was very happy that I got her. I will Go back and ask for her...",5
"AWESOME!!! 

I love this place! I am from Seattle and I've been struggling to find a good pho restaurant since moving out here. Khai Hoan reminds me of some of the restaurants I used to go to back home.  I love hole-in-the-wall family restaurants like this one. No fuss, no frills. Just good food and fast service.We were greeted, seated, ordered and got our appetizer in 10 minutes. Food was delicious!!! Definitely go here!",5
"I have been going to Cartel for a while, and their coffee has absolutely spoiled me. I can hardly drink coffee or esspresso from anywhere else, I even buy their beans and brew it at home.
Most of the bartista's are stellar, but expect to wait for your specialty drinks, not only because they are almost always busy, but also because making kick ass coffee drinks takes time.
I suggest either the Honduras with cream, an iced agave latter, or a cappuccino (which you have to drink there).",5
"My boss asked me to find someone to clean the office windows (about 50 large panes) inside and out, so I got in touch with Brad.  He was very professional throughout the experience, and his mastery of this craft is phenomenal.  The windows were crystal clear within a few hours; he did a very thorough job.  Punctual, efficient, and easy to work with--his rate was very competitive, and his work is worth every penny!  The office looks brand new.",5
"Went in midweek for lunch with a few guys from work. Place was quiet, easy to get seats. Staff were super friendly and efficient. 
Some of the best wings I have ever had... Try the boneless wings, hot, and ""Finished on the grill""... AWESOME!!! Also highly recommend the patty melt on marbled rye with sweet potato fries.",4
"Lets just say i was not to please with my experience at Nails R Us. After two days my nails were lifting on about 4 nails by the end of the weekend i had 6 nails lifting, so i went back and showed them and she was like its normal. No it normal to lift but not after 2 days! They did fix them for me free of charge but were very rude to me!!! Will not be going back there or will not refer any of my friends there!",1
"Oooooh, I liked it, very much so!  Just sad that I didn't get to try more of its myriad offerings, especially the pizza.  We enjoyed a lovely brunch here on a Friday.  Cute little place, lots of ambiance, good people watching (quite the hopping place on this midsummer day), tasty food.  We had a round of Bloody Marys, and those were nicely done, as well.  A great spot to just hang and nosh and chitchat with friends.",4
"I really enjoy That's A Wrap... all of the food I've ordered here has been really enjoyable, plus it's all a really good value for the money. My favorite wrap here is the Prince of Thai, sin pollo con tofu. The Veggie Bowl is also another good option and I'm pleased they can make anything vegetarian. Worth a stop for lunch, however, the parking lot is tight and I have been here more than once when it was full.",4
"I Live close but will stop eating there. The service was slow, my friend complanned about a order he had and they said ow next time tell them to make it different for you?  Really then I ordered another simple California roll Took forever.  The Sushi is allright but the overall experience is worth driving somewhere else you lost me...",2
"Never been in - but I get pizza delivered from them now and then. I am a New Yorker and to call me a pizza snob probably doesn't go far enough.

The crust is crispy, thin, and foldable, the outside edges, crispy and bubbly. Great mozzarella. I have never been disappointed by a topping. A little greasy, as it should be; it reminds me of NY pizza, and that's a big compliment coming from me.

We don't have a Ray's in Central Phoenix... but we do have Mamma Mia's. 

Yo! Tony! You make a good pizza.",4
"I was really surprised by this place!  Soooo much better than that other ""bertos"" place!  I went thru the drive thru so I'm not sure about the inside but I ordered the taco and cheese enchilada combo with rice and beans. I also ordered a side of chips. The food was very good and the rice was REALLY good!  The chips were hot!!  Loved it!  Yum!  I will be back when I'm in the area again.",4
"I am not a beer drinker, so this is not rating the beer, but the food and atmosphere.

1) Atmosphere: sweet - great patio and nice bar scene inside

2) Food - pretty good for bar food

3) Hit it up if you are in Tempe, its just one of those places you need to go",4
"I have seen this place for years and years but had never gone in until one night awhile ago.  It turned out to be a really cool bar with live music and great drink specials.

It's a small place, but what it lacks in size, it makes up in character.  It has a vibe all its own and if you get there early, you can sit right up front and check out the band. 

Do something different and go to Char's, you'll be glad you did.",4
"More a comment than a review. Suffice it to say, I L-O-V-E this store! Much to my surprise and delight they are opening a second store at 75th and Cactus! Right in my own backyard , don't ya know. Woo hoo! Now all we need for the NW valley is Lee's sandwiches, and a solid dim sum joint to complete my favorite Asian trifecta!!",4
The best tai in downtown for the price! Masiman is the most tasty dish here!,5
"After reading many decent reviews and seeing how close the restaurant was to home, I decided to give it a try.

The young lady at the counter was impatient and had no interpersonal skills. The food was just not good; this place is 'Chinese take-out' at best.",2
Great food and very friendly service.  Happy to recommend!,5
Good & fast food. Prices are fair. They charge a fee for Bank cards.,4
"How can something so simple taste sooo good? I wish there were one more on the west side. I hate going to the fair to get my fix of fry bread. There needs to be one of these on every  corner of the compass in Phoenix! As Rachel Ray would say, ""Yummy!""",5
"we come here about once a week. the soup in a bread bowl is yummy- i usually get a wildflower salad with the pesto vinegarette, which is amazing! their grain mustard is also amazing and the service is usually very good. the clientele can be interesting so it is a good place to people watch :)",4
Great hh prices. Like to go and unwind. Definetly give it a try,4
I love that this restaurant can accommodate  all types of people. It's a sports bar with Family style entertainment! The staff is always friendly and  they aim to please. The food is always good and prices are very reasonable. The bar is on one side so it splits the Families with children on the other side with an amazing area with tvs to play Xbox and wii. Check this place out. You won't be disappointed.,5
"Since I moved to AZ from Los Angeles I have been searching far and wide for a sushi place that met my high standards for great sushi. Sakana is hands down the best in town. The fish is fresh, the rolls are huge and nothing beats the .50 cent appetizers when you buy a beer! I recommend going on a weeknight, Friday and Saturday nights can fill up pretty quickly so you might have to wait.... but it's worth it.",5
"Bad ass, just like the name.  I've heard that this facility doesn't have any water restrictions so their course is lush & in tip top shape.  It's definitely a challenging course.  The staff is nice and the current off season rate is  $35 for residents!  You have to check it out, it's a great deal.",5
Great food!  The FEZ burger is a real winner.  The staff and clientele are friendly.  Great place to meet people for drinks and hang out.,4
"My wife and I were downtown with some friends, and decided to check this place out. I ordered a pasta lunch, and chose Penne Alla Campagna and another penne with tomatoes and Mozzarella. Meh, it was just okay. The food was just okay, kind of bland and a bit overpriced. I did snag a small slice of pepperoni pizza from one of the kids at our table that was actually the best part of my meal. Would I go back, nope no sir",2
"This is the second time we visited India Gate. The service was as good as the last time we were there. The waiters are attentive and friendly, willing to explain in detail what and how each dishes were made (for those of us who has no idea what some of the items are on the menu)

Cozy place to have a nice meal, reasonable price.",4
Had lunch here with Robyn N. and Rand H. the food here was ok and I liked it better before they did the so called renovation.All they did was add a mongolian BBQ and wash the windows. Some of my favorite things on the buffet were gone so I am dropping them down to 3 stars but still it was a good lunch.,3
"basically, i'm only reviewing this store because i really do not care for the employees here. there are a few nice ones, but overall, they are either cranky, stressed out, or missing.

the redeeming points? a nice selection of crafting products. but then again, you can always just go to a DIFFERENT location. i'd opt for that.",2
